influencer_id,influencer_name,platform,category,audience,followers,avg_reach,engagement_rate,avg_likes,avg_comments,estimated_cost,conversion_rate,roi,location,content_type,audience_match_score
INF001,Aarohi Sharma,YouTube,Fashion,Teens,343243,141152,9.99,8964,190,172000,5.43,4.2,Mumbai,Post,72.7
INF002,Riya Joshi,Instagram,Beauty,Adults,323631,117994,6.19,5678,224,181300,4.62,5.36,Nagpur,Video,74.2
INF003,Kabir Roy,YouTube,Fitness,Teens,120886,105952,7.16,4418,85,105600,4.7,5.35,Nagpur,Reel,83.2
INF004,Anaya Kulkarni,Instagram,Beauty,Teens,442846,308110,11.0,22930,542,214700,5.0,5.2,Nagpur,Video,80.0
INF005,Vihaan Gupta,Instagram,Fitness,Adults,445314,245215,7.39,11295,305,408900,4.93,4.48,Pune,Post,80.3
INF006,Sara Singh,Instagram,Food,Young Adults,149530,133715,9.28,9243,423,130300,5.61,2.81,Nashik,Reel,72.0
INF007,Ishaan Reddy,Instagram,Fitness,Adults,305365,254064,7.0,13861,454,277000,3.93,2.97,Nashik,Short,94.6
INF008,Myra Mehta,Instagram,Technology,Adults,217400,119373,11.78,8415,313,180000,6.06,2.47,Mumbai,Short,77.6
INF009,Arjun Patil,YouTube,Food,Teens,253392,162427,11.6,16039,248,205300,5.11,4.16,Nashik,Short,70.2
INF010,Tara Desai,YouTube,Fitness,Adults,9701,8484,10.93,595,22,8000,6.34,5.63,Pune,Post,77.3
INF011,Dev Malhotra,YouTube,Beauty,Teens,92698,59943,10.25,4519,67,56700,1.6,5.89,Pune,Reel,67.8
INF012,Kiara Kapoor,YouTube,Beauty,Adults,262798,209926,11.65,18010,372,204900,6.52,2.53,Palghar,Post,88.5
INF013,Aanya Jain,Instagram,Fitness,Teens,217186,194887,9.35,12816,490,110900,2.69,3.29,Mumbai,Reel,88.4
INF014,Rahul Pawar,Instagram,Fitness,Adults,38866,18497,11.14,1753,31,22100,5.05,2.74,Nagpur,Post,90.9
INF015,Meera Khan,Instagram,Fashion,Young Adults,431360,247550,5.46,10551,326,282800,6.08,2.04,Palghar,Video,91.4
INF016,Aditya Nair,YouTube,Fitness,Teens,65288,31779,6.13,1377,46,38500,2.82,5.86,Mumbai,Reel,97.0
INF017,Nisha Shah,Instagram,Technology,Young Adults,493683,377401,6.45,16850,617,435600,6.28,2.52,Nagpur,Video,79.0
INF018,Karan Iyer,Instagram,Food,Teens,390995,350911,8.69,24439,536,234000,6.63,4.35,Mumbai,Short,81.6
INF019,Simran Verma,YouTube,Fashion,Adults,455070,292209,5.2,11057,589,220400,1.86,5.59,Pune,Reel,85.4
INF020,Yash Bansal,Instagram,Food,Young Adults,227794,162088,8.76,9381,250,178800,3.17,2.97,Nashik,Reel,65.3
INF021,Diya Sharma,Instagram,Food,Young Adults,333666,300015,11.77,20326,499,194400,6.45,5.68,Pune,Short,92.5
INF022,Rohan Joshi,Instagram,Beauty,Young Adults,376857,194603,11.69,18938,734,295400,4.44,5.9,Mumbai,Reel,89.5
INF023,Ira Roy,Instagram,Fashion,Adults,89499,44730,9.03,3235,78,68700,2.9,3.95,Nagpur,Video,66.5
INF024,Aman Kulkarni,Instagram,Beauty,Adults,182879,141569,9.26,8412,406,132700,3.77,1.84,Mumbai,Video,84.2
INF025,Pooja Gupta,Instagram,Fashion,Young Adults,85643,50219,5.09,1732,98,80200,1.71,3.37,Thane,Short,97.1
INF026,Neil Singh,YouTube,Technology,Adults,400942,174411,11.31,16818,991,343000,6.17,1.91,Palghar,Post,73.8
INF027,Sneha Reddy,Instagram,Beauty,Teens,420811,309591,7.48,13050,472,231400,6.37,3.34,Palghar,Post,78.1
INF028,Varun Mehta,Instagram,Fashion,Young Adults,154068,127166,11.57,9529,418,100100,6.7,4.16,Pune,Video,66.3
INF029,Mahi Patil,YouTube,Fashion,Adults,320775,188939,9.9,12341,521,226400,3.54,4.34,Nagpur,Reel,82.2
INF030,Aryan Desai,YouTube,Fitness,Young Adults,430843,278388,9.84,22179,1002,272300,1.87,4.72,Palghar,Reel,88.8
INF031,Aarohi Malhotra,YouTube,Beauty,Adults,165455,104057,9.47,6544,303,120300,2.52,4.73,Thane,Video,78.4
INF032,Riya Kapoor,Instagram,Fitness,Young Adults,445112,155888,6.81,7436,305,346000,3.96,3.75,Palghar,Post,86.7
INF033,Kabir Jain,Instagram,Beauty,Teens,156785,99323,9.23,6117,317,129400,5.07,2.79,Mumbai,Post,97.5
INF034,Anaya Pawar,Instagram,Beauty,Adults,328483,268487,5.31,9909,429,179800,5.19,3.98,Palghar,Reel,94.5
INF035,Vihaan Khan,Instagram,Fashion,Young Adults,459118,355139,5.55,13773,315,426500,4.25,2.02,Pune,Short,87.0
INF036,Sara Nair,YouTube,Beauty,Adults,301037,203952,11.45,20129,856,243700,4.18,5.45,Nagpur,Short,73.6
INF037,Ishaan Shah,Instagram,Food,Young Adults,137624,111740,6.74,6192,227,78400,3.83,4.94,Nashik,Reel,69.6
INF038,Myra Iyer,YouTube,Technology,Adults,129247,72464,5.87,2658,89,79500,3.97,2.07,Palghar,Reel,93.3
INF039,Arjun Verma,Instagram,Technology,Teens,409392,272912,8.14,19548,555,264100,6.23,5.48,Nashik,Short,81.0
INF040,Tara Bansal,Instagram,Technology,Adults,211873,113324,9.55,7483,167,144900,2.18,4.54,Thane,Reel,67.8
INF041,Dev Sharma,YouTube,Food,Young Adults,232716,98819,8.03,4503,144,129400,3.23,5.15,Nashik,Reel,80.5
INF042,Kiara Joshi,Instagram,Beauty,Teens,400704,259127,11.8,20562,910,336800,4.95,5.12,Thane,Post,72.9
INF043,Aanya Roy,Instagram,Beauty,Young Adults,256282,184062,8.75,10086,468,213600,2.39,4.47,Mumbai,Reel,95.7
INF044,Rahul Kulkarni,Instagram,Food,Adults,309883,223903,11.51,17751,837,151200,5.16,4.56,Thane,Reel,91.3
INF045,Meera Gupta,YouTube,Fashion,Young Adults,304711,237811,7.23,12034,381,214200,3.31,5.54,Nashik,Short,88.3
INF046,Aditya Singh,YouTube,Food,Teens,236320,105605,8.45,6939,296,215000,5.61,3.85,Mumbai,Video,94.1
INF047,Nisha Reddy,YouTube,Food,Young Adults,135854,103624,8.79,7139,215,94700,3.22,3.95,Nashik,Video,83.3
INF048,Karan Mehta,YouTube,Technology,Teens,278861,243009,5.4,10524,389,231200,5.16,4.64,Mumbai,Video,72.3
INF049,Simran Patil,YouTube,Technology,Young Adults,370695,179348,9.45,11510,459,230500,6.78,4.22,Nashik,Video,72.6
INF050,Yash Desai,YouTube,Fashion,Teens,386160,176058,5.64,7323,361,209500,2.65,3.93,Nashik,Post,76.9
INF051,Diya Malhotra,YouTube,Fashion,Teens,166475,59561,8.54,3285,193,121000,5.2,2.36,Thane,Video,80.5
INF052,Rohan Kapoor,Instagram,Beauty,Teens,238932,128399,11.56,9475,509,121100,1.85,3.96,Thane,Video,67.8
INF053,Ira Jain,YouTube,Food,Adults,138123,57341,10.15,4436,224,77700,4.27,3.78,Nagpur,Video,83.8
INF054,Aman Pawar,Instagram,Fitness,Teens,39578,27122,9.98,2386,58,22000,5.0,2.49,Pune,Reel,78.5
INF055,Pooja Khan,YouTube,Fitness,Adults,369429,249954,6.84,10788,505,296100,3.91,4.82,Pune,Short,68.8
